ID;NOME CMEI;x;y;V mais próx;Dist do V
1;CENTRO MUNICIPAL DE EDUCACAO INFANTIL CONJUNTO MERCURIO;681196;7182066;1116;68,46897107
2;CENTRO MUNICIPAL DE EDUCACAO INFANTIL SOLITUDE;681445;7181032;1252;27,45906044
3;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSOR OSNY DACOL;681307;7183539;1166;47,20169488
4;CENTRO MUNICIPAL DE EDUCACAO INFANTIL MORADIAS IGUACU;681252;7181631;1169;36,87817783
5;CENTRO MUNICIPAL DE EDUCACAO INFANTIL VO NAZARETH;680571;7182865;707;32,57299495
6;CENTRO MUNICIPAL DE EDUCACAO INFANTIL VILA CAMARGO;679615;7182734;361;80,15609771
7;CENTRO MUNICIPAL DE EDUCACAO INFANTIL TRINDADE;680457;7184397;660;41,10960958
8;CENTRO MUNICIPAL DE EDUCACAO INFANTIL CAJURU;678445;7184292;55;26,92582404
9;CENTRO MUNICIPAL DE EDUCACAO INFANTIL SENADOR AFFONSO ALVES DE CAMARGO NETTO;679010;7183988;174;37,21558813
10;CENTRO MUNICIPAL DE EDUCACAO INFANTIL AUTODROMO;681401;7182760;1224;33,24154028
11;CENTRO MUNICIPAL DE EDUCACAO INFANTIL GENERAL ITALO CONTI;680985;7184282;951;35,34119409
