x;y;V
677815;7184782;1
677816;7184948;2
677816;7184971;3
677817;7184720;4
677831;7184732;5
677861;7184583;6
677882;7184774;7
677888;7184622;8
677960;7184734;9
677998;7184714;10
678000;7184484;11
678007;7184495;12
678015;7184705;13
678033;7184616;14
678062;7184962;15
678074;7184949;16
678111;7184402;17
678144;7184257;18
678156;7184861;19
678157;7184445;20
678167;7184518;21
678176;7184558;22
678178;7184624;23
678185;7185050;24
678201;7184116;25
678211;7184460;26
678222;7184129;27
678229;7184325;28
678231;7184407;29
678251;7184765;30
678255;7184518;31
678258;7184026;32
678267;7184963;33
678295;7185154;34
678297;7184371;35
678305;7184200;36
678306;7184379;37
678310;7184393;38
678310;7184490;39
678311;7184556;40
678313;7184466;41
678315;7184424;42
678316;7183942;43
678316;7184074;44
678323;7184908;45
678377;7184265;46
678377;7184363;47
678378;7185066;48
678379;7183997;49
678382;7184698;50
678391;7184515;51
678393;7183836;52
678395;7184280;53
678395;7185050;54
678420;7184302;55
678425;7183766;56
678438;7185264;57
678451;7184486;58
678453;7184843;59
678457;7184142;60
678460;7183896;61
678464;7184345;62
678464;7184657;63
678467;7184159;64
678472;7183717;65
678473;7185152;66
678476;7184231;67
678485;7184093;68
678491;7184399;69
678505;7183668;70
678517;7184453;71
678518;7184038;72
678523;7184626;73
678526;7184985;74
678529;7184058;75
678531;7183801;76
678533;7184176;77
678534;7185160;78
678541;7185277;79
678542;7184306;80
678549;7183742;81
678556;7183977;82
678567;7183687;83
678570;7184012;84
678573;7184018;85
678579;7184153;86
678586;7183629;87
678588;7184283;88
678589;7184593;89
678596;7184418;90
678596;7184771;91
678599;7185128;92
678610;7184084;93
678615;7184335;94
678630;7184131;95
678632;7184842;96
678633;7184259;97
678642;7183459;98
678643;7183648;99
678643;7183837;100
678645;7184394;101
678652;7185235;102
678654;7184186;103
678666;7184555;104
678669;7184912;105
678682;7184235;106
678696;7183913;107
678698;7183478;108
678698;7183666;109
678701;7183856;110
678708;7184286;111
678712;7183949;112
678727;7183583;113
678730;7183984;114
678737;7183998;115
678738;7184698;116
678739;7184345;117
678741;7185055;118
678756;7183497;119
678756;7183686;120
678758;7183874;121
678769;7184063;122
678775;7184771;123
678795;7185164;124
678796;7184113;125
678804;7184666;126
678810;7184482;127
678811;7184841;128
678813;7183326;129
678813;7183704;130
678817;7184085;131
678821;7184164;132
678837;7184019;133
678841;7183620;134
678843;7184204;135
678854;7183967;136
678870;7183533;137
678871;7183154;138
678873;7183913;139
678876;7184808;140
678877;7184104;141
678881;7184626;142
678883;7184267;143
678884;7184982;144
678900;7183827;145
678900;7184301;146
678915;7184696;147
678927;7183741;148
678928;7183364;149
678930;7184122;150
678937;7185091;151
678948;7184951;152
678951;7184057;153
678951;7185117;154
678952;7184768;155
678954;7184408;156
678955;7183278;157
678955;7183656;158
678967;7184004;159
678984;7183190;160
678984;7183571;161
678985;7183950;162
678988;7184330;163
679004;7184279;164
679014;7183865;165
679020;7184232;166
679023;7184554;167
679025;7184911;168
679035;7184185;169
679039;7183020;170
679040;7183400;171
679040;7183590;172
679041;7183779;173
679042;7183969;174
679043;7184159;175
679045;7184541;176
679050;7184137;177
679058;7184624;178
679066;7184089;179
679068;7182931;180
679068;7183316;181
679069;7183694;182
679077;7185015;183
679089;7183824;184
679094;7184697;185
679097;7183420;186
679097;7183608;187
679098;7182838;188
679098;7183228;189
679099;7183988;190
679100;7184873;191
679102;7184368;192
679103;7185040;193
679118;7184106;194
679136;7183873;195
679138;7184271;196
679150;7183626;197
679150;7184327;198
679152;7184223;199
679153;7183058;200
679153;7184977;201
679154;7183247;202
679154;7183438;203
679155;7183816;204
679162;7184225;205
679163;7184484;206
679165;7184280;207
679167;7184838;208
679172;7183764;209
679178;7184178;210
679181;7182969;211
679181;7184127;212
679181;7184395;213
679182;7183353;214
679183;7183731;215
679187;7183717;216
679188;7183891;217
679189;7183891;218
679191;7184100;219
679192;7184470;220
679193;7184262;221
679199;7184344;222
679202;7184557;223
679203;7183669;224
679208;7184215;225
679209;7183077;226
679209;7183457;227
679210;7183267;228
679210;7183647;229
679211;7182874;230
679211;7182875;231
679211;7184404;232
679218;7183622;233
679219;7184218;234
679221;7184943;235
679222;7184007;236
679223;7184273;237
679224;7184166;238
679225;7183781;239
679230;7184410;240
679234;7183002;241
679234;7183575;242
679234;7184170;243
679238;7184624;244
679241;7184116;245
679249;7183527;246
679253;7183912;247
679266;7183095;248
679267;7183285;249
679267;7183475;250
679268;7182894;251
679269;7182697;252
679269;7184289;253
679277;7184426;254
679284;7183816;255
679288;7183802;256
679295;7183388;257
679303;7184137;258
679308;7183757;259
679310;7184768;260
679317;7184305;261
679318;7182750;262
679322;7182533;263
679323;7183114;264
679323;7183708;265
679324;7183304;266
679326;7182912;267
679330;7182442;268
679330;7184445;269
679332;7183711;270
679334;7184044;271
679346;7183664;272
679346;7184487;273
679350;7184385;274
679352;7182448;275
679356;7182821;276
679357;7183667;277
679361;7184871;278
679364;7183949;279
679367;7183734;280
679370;7183844;281
679371;7184323;282
679372;7183620;283
679379;7183133;284
679380;7184553;285
679381;7183323;286
679382;7182931;287
679382;7183513;288
679382;7183686;289
679385;7182736;290
679386;7183794;291
679388;7184272;292
679391;7184464;293
679392;7183689;294
679394;7183575;295
679395;7183855;296
679402;7183746;297
679403;7184226;298
679418;7183644;299
679419;7184175;300
679427;7183647;301
679429;7184837;302
679434;7184525;303
679436;7183152;304
679437;7183341;305
679438;7182570;306
679439;7182570;307
679439;7182950;308
679440;7182759;309
679445;7183592;310
679448;7184292;311
679449;7184482;312
679450;7184082;313
679450;7184826;314
679453;7184696;315
679461;7183539;316
679465;7182485;317
679470;7182858;318
679475;7183663;319
679477;7184395;320
679481;7183988;321
679491;7184496;322
679493;7182399;323
679493;7183170;324
679494;7183550;325
679495;7182588;326
679497;7182777;327
679505;7184311;328
679506;7183891;329
679508;7182351;330
679509;7184666;331
679510;7183555;332
679521;7183679;333
679522;7182308;334
679523;7183839;335
679539;7183791;336
679548;7182228;337
679550;7182419;338
679550;7183188;339
679550;7183378;340
679551;7183378;341
679552;7182606;342
679554;7182985;343
679555;7183569;344
679557;7183760;345
679557;7184518;346
679561;7183746;347
679567;7182368;348
679577;7183697;349
679580;7182326;350
679583;7182238;351
679583;7182895;352
679584;7183674;353
679586;7184429;354
679587;7183770;355
679599;7184623;356
679601;7182262;357
679605;7182437;358
679606;7183207;359
679608;7183397;360
679610;7182814;361
679611;7183004;362
679612;7183589;363
679614;7184346;364
679619;7182389;365
679620;7184538;366
679645;7182123;367
679649;7182452;368
679650;7182295;369
679663;7184754;370
679664;7182402;371
679664;7183226;372
679666;7182643;373
679667;7182833;374
679668;7183022;375
679668;7183416;376
679671;7183797;377
679672;7183607;378
679675;7184366;379
679677;7184556;380
679699;7183711;381
679713;7182317;382
679713;7184566;383
679714;7183073;384
679720;7182195;385
679720;7182476;386
679722;7182662;387
679724;7182851;388
679724;7183247;389
679725;7183247;390
679728;7183437;391
679728;7183625;392
679733;7184385;393
679736;7182175;394
679741;7182433;395
679744;7184740;396
679747;7184537;397
679752;7182356;398
679757;7182146;399
679762;7182283;400
679766;7182232;401
679775;7182498;402
679779;7182682;403
679781;7182870;404
679783;7183060;405
679783;7183455;406
679784;7183833;407
679787;7184214;408
679790;7184404;409
679791;7184594;410
679795;7182377;411
679801;7182430;412
679803;7182084;413
679813;7183748;414
679831;7181996;415
679834;7182516;416
679835;7183283;417
679837;7182702;418
679840;7182889;419
679841;7183663;420
679843;7184042;421
679845;7182413;422
679845;7184231;423
679846;7184421;424
679847;7182479;425
679852;7182292;426
679855;7182375;427
679856;7182454;428
679857;7181898;429
679861;7182254;430
679866;7182328;431
679868;7182804;432
679869;7181742;433
679872;7182301;434
679876;7184719;435
679884;7182165;436
679890;7183111;437
679892;7182534;438
679895;7182722;439
679897;7183492;440
679899;7183682;441
679899;7183872;442
679900;7184061;443
679902;7184249;444
679906;7184629;445
679917;7182438;446
679921;7182017;447
679922;7183016;448
679924;7182634;449
679927;7183785;450
679928;7182393;451
679930;7184164;452
679933;7184544;453
679940;7181760;454
679941;7182346;455
679945;7181919;456
679947;7182322;457
679947;7183326;458
679951;7182925;459
679952;7182552;460
679955;7183511;461
679955;7183700;462
679956;7183890;463
679957;7182283;464
679957;7184078;465
679957;7184079;466
679961;7184459;467
679970;7181817;468
679980;7182840;469
679981;7182191;470
679982;7181770;471
679986;7183426;472
679988;7184373;473
679989;7182461;474
679991;7181505;475
680000;7183756;476
680003;7182535;477
680003;7183147;478
680004;7181776;479
680007;7182755;480
680007;7184697;481
680009;7182417;482
680010;7183354;483
680012;7183529;484
680012;7183719;485
680012;7183908;486
680014;7184097;487
680016;7184287;488
680017;7182041;489
680018;7184664;490
680024;7181519;491
680032;7182370;492
680035;7183053;493
680036;7182669;494
680043;7181943;495
680044;7184201;496
680046;7184580;497
680053;7182307;498
680056;7183585;499
680061;7183166;500
680064;7182773;501
680065;7182584;502
680065;7182962;503
680066;7183363;504
680067;7181793;505
680068;7181841;506
680069;7183738;507
680069;7183926;508
680070;7182569;509
680070;7184691;510
680072;7184116;511
680075;7184495;512
680078;7182214;513
680079;7182541;514
680087;7181547;515
680090;7183273;516
680092;7182877;517
680093;7182504;518
680102;7182481;519
680102;7184410;520
680114;7182066;521
680115;7182445;522
680118;7183185;523
680120;7182602;524
680121;7182792;525
680122;7182981;526
680124;7183756;527
680126;7183567;528
680127;7183945;529
680129;7184135;530
680130;7184324;531
680131;7184515;532
680132;7181809;533
680133;7184692;534
680134;7182396;535
680140;7181967;536
680145;7181574;537
680151;7182331;538
680154;7183482;539
680155;7183859;540
680158;7184239;541
680162;7181331;542
680167;7181865;543
680175;7182238;544
680176;7183204;545
680177;7182621;546
680178;7181821;547
680178;7182999;548
680182;7183395;549
680182;7183774;550
680184;7183964;551
680186;7184153;552
680188;7184534;553
680195;7182563;554
680197;7181825;555
680200;7182548;556
680203;7181600;557
680206;7182914;558
680206;7183311;559
680212;7182514;560
680213;7181369;561
680213;7182090;562
680219;7181277;563
680221;7182474;564
680224;7184709;565
680232;7182421;566
680234;7182829;567
680234;7183223;568
