x;y;V
665644;7186429;0
665899;7187165;1
666170;7187662;2
666955;7188829;3
667065;7188147;4
667572;7190588;5
667593;7189657;6
667625;7188154;7
667635;7177370;8
667973;7188136;9
668306;7176787;10
668402;7179197;11
668613;7187401;12
668615;7187460;13
668686;7179626;14
668705;7179699;15
668765;7178034;16
668826;7179878;17
668880;7191318;18
668885;7179969;19
668906;7179197;20
668981;7180109;21
669406;7178242;22
669433;7178275;23
669560;7186541;24
669674;7186261;25
669681;7186267;26
669719;7186146;27
669722;7186188;28
669723;7186196;29
669798;7181097;30
669894;7181144;31
669910;7177311;32
669953;7185956;33
670022;7178841;34
670057;7185873;35
670065;7177304;36
670081;7178866;37
670137;7177305;38
670178;7187106;39
670181;7187898;40
670202;7187113;41
670202;7187150;42
670203;7187105;43
670219;7187875;44
670220;7187122;45
670291;7187246;46
670293;7187152;47
670308;7187279;48
670310;7178885;49
670339;7187136;50
670361;7186831;51
670366;7187134;52
670372;7187138;53
670372;7187382;54
670518;7190894;55
670530;7190292;56
670534;7184236;57
670538;7184705;58
670541;7183908;59
670545;7181333;60
670552;7183939;61
670558;7183965;62
670591;7183642;63
670602;7189265;64
670672;7191117;65
670672;7191121;66
670701;7189222;67
670706;7189431;68
670764;7183071;69
670778;7191135;70
671101;7182211;71
671124;7175759;72
671169;7181378;73
671287;7179022;74
671309;7177326;75
671361;7181440;76
671403;7181640;77
671408;7181916;78
671457;7177333;79
671500;7184348;80
671517;7176449;81
671696;7176760;82
671949;7177225;83
671956;7191522;84
672177;7184623;85
672179;7184604;86
672201;7184026;87
672219;7184469;88
672233;7184560;89
672244;7184478;90
672251;7184516;91
672305;7191571;92
672341;7184664;93
672365;7184598;94
672373;7184595;95
672383;7191548;96
672395;7177821;97
672501;7177970;98
672558;7184176;99
672560;7184173;100
672579;7178061;101
672580;7177931;102
672671;7191257;103
672857;7191266;104
673129;7191282;105
673152;7178825;106
673168;7191258;107
673234;7185055;108
673340;7179073;109
673365;7185084;110
673387;7184506;111
673448;7179200;112
673571;7191271;113
673573;7184582;114
673659;7179493;115
673719;7177073;116
673868;7176966;117
673988;7187777;118
673989;7187634;119
