ID;NOME PRAÇA/JARDINETE;x;y;V mais próx;Dist do V
1;SEM NOME;679190;7184227;225;21,63330765
2;ALCEU ARIOSTO BOCCHINO - MAESTRO ALCEU BOCCHINO;679283;7184007;236;61
3;SEM NOME;681096;7181471;1053;63,81222453
4;ARMANDO BOGO;678009;7184493;12;2,828427125
5;LEONIDAS SILVA;680350;7181922;628;63,2534584
6;SEM NOME;679366;7184140;258;63,07138812
7;METRY BACILA - PROFESSOR METY BACILA;679271;7184044;236;61,40032573
8;SEM NOME;679416;7183986;279;63,82005954
9;SEM NOME;679428;7183949;279;64
10;SEM NOME;679335;7183855;281;36,68787266
11;SEM NOME;679596;7182664;342;72,80109889
12;SEM NOME;680861;7180914;865;15,8113883
13;PAULO DO CANTO PACHECO;678295;7184385;37;12,52996409
14;SEM NOME;680883;7180955;881;29
15;SEM NOME;678226;7184500;31;34,13209633
16;SEM NOME;681109;7183765;1012;32,80243893
17;SEM NOME;681108;7181396;1053;30,41381265
18;SEM NOME;681053;7181283;1006;31,82766093
19;SEM NOME;681024;7181228;985;31,82766093
20;SEM NOME;680997;7181172;967;32,55764119
21;SEM NOME;680940;7181062;904;32,38826948
22;SEM NOME;680912;7181007;904;32,52691193
23;SEM NOME;681507;7182591;1283;24,8394847
24;SEM NOME;679667;7184569;380;16,40121947
25;SEM NOME;681080;7181339;1028;30,47950131
26;SEM NOME;680968;7181118;942;31,11269837
27;SEM NOME;678479;7184314;62;34,43835072
28;LEVI ALVES CORDEIRO;679458;7184498;312;18,35755975
29;PROF. EMILIO SCHUTZ;679398;7183627;299;26,2488095
30;PROF. EMILIO SCHUTZ;679354;7183699;270;25,05992817
31;WALT DISNEY;679227;7183879;218;39,84971769
32;SEM NOME;680650;7181017;706;75,92759709
33;SEM NOME;680087;7184523;512;30,46309242
34;SEM NOME;677855;7184656;8;47,38143096
35;MAURO FERREIRA;677782;7184719;4;35,0142828
36;SEM NOME;680963;7181514;937;20,1246118
37;IRMA BEATRIZ COMPARIN;680965;7181577;943;28,17800561
